Date,Max Temperature (°C),Min Temperature (°C),Mean Temperature (°C),Avg Relative Humidity (%),Avg Cloud Cover (%),Total Precipitation (mm),Max Wind Speed (m/s),Avg Wind Direction (°),Weather Code
2021-05-09,16.0,11.9,13.7875,85.08333333333333,85.625,7.3,8.5,210.54166666666666,51.0
2021-05-10,14.3,12.7,13.270833333333334,98.16666666666667,100.0,58.3,7.4,106.33333333333333,63.0
2021-05-11,14.3,10.6,12.7125,91.75,88.29166666666667,27.6,5.6,192.0,51.0
2021-05-12,17.8,8.5,13.225,66.45833333333333,33.458333333333336,2.0,10.4,229.58333333333334,0.0
2021-05-13,17.5,7.2,12.516666666666666,57.5,19.083333333333332,0.8,8.4,273.0,0.0
2021-05-14,15.6,6.7,11.7875,64.54166666666667,44.5,4.2,8.9,201.25,0.0
2021-05-15,16.0,6.7,11.516666666666666,72.04166666666667,91.16666666666667,5.1,8.4,223.75,3.0
2021-05-16,17.9,10.6,13.720833333333333,87.83333333333333,77.95833333333333,9.6,7.9,218.83333333333334,51.0
2021-05-17,16.7,8.5,13.075000000000001,49.833333333333336,6.208333333333333,0.0,14.5,282.7916666666667,0.0
2021-05-18,18.5,8.7,13.133333333333333,59.541666666666664,52.291666666666664,1.6,9.7,233.54166666666666,0.0
2021-05-19,17.6,7.0,13.266666666666666,50.583333333333336,18.583333333333332,0.30000000000000004,10.8,259.1666666666667,0.0
2021-05-20,19.2,7.2,14.195833333333333,47.458333333333336,42.625,0.0,9.7,229.41666666666666,0.0
2021-05-21,17.5,9.9,14.808333333333332,63.0,80.91666666666667,1.4,8.5,193.95833333333334,3.0
2021-05-22,16.1,11.0,13.4375,90.58333333333333,83.875,6.0,8.7,207.91666666666666,51.0
2021-05-23,19.9,7.9,14.799999999999999,56.458333333333336,60.291666666666664,0.1,8.5,259.9166666666667,3.0
2021-05-24,15.1,10.7,12.862499999999999,89.125,88.375,6.3999999999999995,7.2,206.375,51.0
2021-05-25,17.2,8.2,12.887500000000001,56.083333333333336,13.583333333333334,0.0,9.4,280.5416666666667,0.0
2021-05-26,18.2,7.7,14.433333333333332,60.791666666666664,37.708333333333336,0.0,9.4,199.08333333333334,0.0
2021-05-27,21.9,8.9,16.4875,60.916666666666664,26.083333333333332,1.1,5.6,239.20833333333334,0.0
2021-05-28,20.8,11.0,17.075,67.0,47.0,0.0,8.7,212.91666666666666,2.0
2021-05-29,22.0,13.0,17.491666666666667,82.08333333333333,73.375,9.8,9.2,224.25,51.0
2021-05-30,19.4,13.5,16.058333333333334,84.83333333333333,75.58333333333333,4.1,8.4,177.29166666666666,51.0
2021-05-31,19.4,13.7,16.087500000000002,83.875,57.708333333333336,5.8,7.7,197.95833333333334,51.0
2021-06-01,20.7,14.1,17.183333333333334,79.0,44.291666666666664,8.0,7.1,222.25,1.0
2021-06-02,17.4,13.9,15.795833333333333,93.0,86.29166666666667,8.9,7.0,158.45833333333334,51.0
2021-06-03,22.0,13.4,18.275000000000002,77.08333333333333,50.208333333333336,0.4,7.2,231.83333333333334,2.0
2021-06-04,22.8,15.9,19.458333333333332,80.95833333333333,62.166666666666664,5.5,6.1,227.91666666666666,51.0
2021-06-05,21.8,14.9,18.829166666666666,82.75,40.708333333333336,15.0,6.6,211.20833333333334,51.0
2021-06-06,23.2,12.9,19.141666666666666,70.875,34.125,1.0,5.4,232.45833333333334,0.0
2021-06-07,21.7,15.6,18.829166666666666,82.70833333333333,83.25,13.9,7.7,186.33333333333334,51.0
2021-06-08,21.5,15.3,18.541666666666668,81.75,83.41666666666667,3.6,6.2,208.54166666666666,3.0
2021-06-09,23.5,15.7,19.8,71.70833333333333,71.08333333333333,1.1,6.9,242.16666666666666,2.0
2021-06-10,23.6,14.6,19.758333333333333,72.45833333333333,32.583333333333336,0.8,6.1,223.125,1.0
2021-06-11,23.8,15.4,20.3,76.5,30.541666666666668,1.1,6.0,200.875,1.0
2021-06-12,27.0,16.8,22.55,73.20833333333333,54.375,1.7,7.4,218.20833333333334,51.0
2021-06-13,29.1,16.1,23.770833333333332,62.833333333333336,27.833333333333332,0.0,7.8,223.83333333333334,0.0
2021-06-14,27.9,16.7,23.870833333333334,70.375,21.541666666666668,0.8999999999999999,7.9,214.04166666666666,0.0
2021-06-15,24.8,20.0,22.208333333333332,87.5,77.0,2.2,7.9,157.58333333333334,51.0
2021-06-16,24.8,18.5,22.3,87.29166666666667,74.20833333333333,6.8,7.7,218.54166666666666,3.0
2021-06-17,25.6,18.4,22.316666666666666,85.04166666666667,93.16666666666667,18.099999999999998,7.7,214.29166666666666,51.0
2021-06-18,25.7,20.0,23.445833333333336,71.58333333333333,46.708333333333336,0.5,7.9,203.91666666666666,1.0
2021-06-19,27.9,17.9,23.666666666666668,71.875,88.58333333333333,0.0,8.2,219.79166666666666,3.0
2021-06-20,25.6,18.8,22.15416666666667,82.45833333333333,94.625,34.5,6.8,228.25,3.0
2021-06-21,25.3,18.7,21.270833333333332,81.95833333333333,40.541666666666664,3.0,7.7,215.58333333333334,51.0
2021-06-22,23.6,16.0,20.354166666666668,77.16666666666667,43.916666666666664,1.9000000000000001,7.9,225.58333333333334,1.0
2021-06-23,23.1,14.4,19.462500000000002,81.875,51.583333333333336,6.8,7.6,234.29166666666666,0.0
2021-06-24,22.0,14.6,19.395833333333332,75.0,50.75,12.7,7.4,230.91666666666666,51.0
2021-06-25,23.3,12.9,18.979166666666668,67.125,8.708333333333334,0.6,6.4,225.45833333333334,0.0
